event_id,user_id,event_name,event_date,channel,user_type
7422,3081,signup,2024-02-08,social,desktop
2359,972,purchase,2024-02-23,paid_search,desktop
4569,1899,signup,2024-02-23,email,desktop
4575,1901,signup,2024-03-02,organic,desktop
3180,1318,activation,2024-02-08,social,mobile
152,68,activation,2024-01-29,social,desktop
5123,2126,signup,2024-03-05,paid_search,desktop
8031,3329,purchase,2024-04-17,referral,desktop
6849,2839,activation,2024-01-24,social,mobile
4181,1738,activation,2024-01-29,paid_search,desktop
3137,1299,activation,2024-01-31,organic,mobile
6246,2588,signup,2024-01-06,email,desktop
6417,2661,signup,2024-03-31,referral,mobile
5248,2181,activation,2024-01-03,organic,mobile
4488,1867,signup,2024-04-02,email,mobile
6238,2585,signup,2024-03-14,paid_search,mobile
8759,3624,purchase,2024-03-06,email,mobile
597,233,signup,2024-03-06,referral,mobile
7707,3192,signup,2024-03-24,referral,desktop
4586,1903,purchase,2024-02-18,referral,desktop
8460,3507,signup,2024-01-30,social,mobile
3689,1524,activation,2024-03-04,paid_search,mobile
1835,743,activation,2024-01-07,social,mobile
2545,1048,signup,2024-01-22,organic,desktop
1530,622,signup,2024-04-11,social,mobile
7599,3147,purchase,2024-03-31,social,desktop
4376,1824,signup,2024-03-24,social,desktop
9444,3903,activation,2024-03-02,organic,desktop
5125,2127,activation,2024-01-16,referral,mobile
6783,2814,purchase,2024-05-14,referral,desktop
4703,1953,activation,2024-03-21,organic,mobile
2014,827,activation,2024-03-24,email,desktop
2130,874,signup,2024-02-08,social,desktop
7635,3162,signup,2024-04-13,social,mobile
9023,3728,purchase,2024-03-13,email,desktop
6505,2695,purchase,2024-04-03,paid_search,mobile
7260,3015,signup,2024-01-18,organic,mobile
3427,1412,purchase,2024-02-08,email,mobile
8688,3598,signup,2024-02-08,social,mobile
3631,1500,purchase,2024-04-28,referral,desktop
3233,1336,signup,2024-03-16,paid_search,mobile
3886,1609,activation,2024-02-20,referral,mobile
4167,1734,signup,2024-04-17,organic,desktop
3727,1540,purchase,2024-03-03,referral,desktop
430,174,activation,2024-02-13,paid_search,mobile
2758,1134,signup,2024-01-17,social,mobile
6438,2668,purchase,2024-04-14,referral,mobile
721,283,purchase,2024-03-10,organic,mobile
5828,2420,purchase,2024-05-30,referral,desktop
1513,614,signup,2024-03-02,paid_search,desktop
6418,2661,activation,2024-03-31,referral,mobile
7311,3034,signup,2024-03-13,social,mobile
2668,1099,activation,2024-04-13,email,desktop
7630,3159,signup,2024-01-28,organic,desktop
5953,2469,purchase,2024-01-25,paid_search,desktop
3324,1374,signup,2024-02-27,organic,desktop
5330,2213,purchase,2024-01-10,email,mobile
3099,1282,signup,2024-03-28,paid_search,desktop
3059,1268,signup,2024-04-27,social,mobile
1553,633,purchase,2024-01-09,organic,mobile
9534,3941,signup,2024-02-13,social,mobile
1469,596,purchase,2024-05-20,organic,desktop
8087,3353,signup,2024-01-13,paid_search,desktop
4621,1921,signup,2024-04-14,organic,desktop
5156,2138,activation,2024-01-09,organic,mobile
